23,"Ekans"," ","Poison"," ",288,35,60,44,40,54,55,1
29,"Nidoran","Female","Poison"," ",275,55,47,52,40,40,41,1
32,"Nidoran","Male","Poison"," ",273,46,57,40,40,40,50,1
48,"Venonat"," ","Bug","Poison",305,60,55,50,40,55,45,1
52,"Meowth"," ","Normal"," ",290,40,45,35,40,40,90,1
60,"Poliwag"," ","Water"," ",300,40,50,40,40,40,90,1
79,"Slowpoke"," ","Water","Psychic",315,90,65,65,40,40,15,1
88,"Grimer"," ","Poison"," ",325,80,80,50,40,50,25,1
104,"Cubone"," ","Ground"," ",320,50,50,95,40,50,35,1
115,"Kangaskhan"," ","Normal"," ",490,105,95,80,40,80,90,1
128,"Tauros"," ","Normal"," ",490,75,100,95,40,70,110,1
165,"Ledyba"," ","Bug","Flying",265,40,20,30,40,80,55,2
167,"Spinarak"," ","Bug","Poison",250,40,60,40,40,40,30,2
174,"Igglybuff"," ","Normal","Fairy",210,90,30,15,40,20,15,2
175,"Togepi"," ","Fairy"," ",245,35,20,65,40,65,20,2
190,"Aipom"," ","Normal"," ",360,55,70,55,40,55,85,2
209,"Snubbull"," ","Fairy"," ",300,60,80,50,40,40,30,2
214,"Heracross"," ","Bug","Fighting",500,80,125,75,40,95,85,2
227,"Skarmory"," ","Steel","Flying",465,65,80,140,40,70,70,2
231,"Phanpy"," ","Ground"," ",330,90,60,60,40,40,40,2
241,"Miltank"," ","Normal"," ",490,95,80,105,40,70,100,2
270,"Lotad"," ","Water","Grass",220,40,30,30,40,50,30,3
285,"Shroomish"," ","Grass"," ",295,60,40,60,40,60,35,3
297,"Hariyama"," ","Fighting"," ",474,144,120,60,40,60,50,3
304,"Aron"," ","Steel","Rock",330,50,70,100,40,40,30,3
307,"Meditite"," ","Fighting","Psychic",280,30,40,55,40,55,60,3
333,"Swablu"," ","Normal","Flying",310,45,40,60,40,75,50,3
343,"Baltoy"," ","Ground","Psychic",300,40,40,55,40,70,55,3
347,"Anorith"," ","Rock","Bug",355,45,95,50,40,50,75,3
370,"Luvdisc"," ","Water"," ",330,43,30,55,40,65,97,3
371,"Bagon"," ","Dragon"," ",300,45,75,60,40,30,50,3
397,"Staravia"," ","Normal","Flying",340,55,75,50,40,40,80,4
403,"Shinx"," ","Electric"," ",263,45,65,34,40,34,45,4
443,"Gible"," ","Dragon","Ground",300,58,70,45,40,45,42,4
446,"Munchlax"," ","Normal"," ",390,135,85,40,40,85,5,4
533,"Gurdurr"," ","Fighting"," ",405,85,105,85,40,50,40,5
540,"Sewaddle"," ","Bug","Grass",310,45,53,70,40,60,42,5
544,"Whirlipede"," ","Bug","Poison",360,40,55,99,40,79,47,5
568,"Trubbish"," ","Poison"," ",329,50,50,62,40,62,65,5
572,"Minccino"," ","Normal"," ",300,55,50,40,40,40,75,5
585,"Deerling"," ","Normal","Grass",335,60,60,50,40,50,75,5
588,"Karrablast"," ","Bug"," ",315,50,75,45,40,45,60,5
594,"Alomomola"," ","Water"," ",470,165,75,80,40,45,65,5
611,"Fraxure"," ","Dragon"," ",410,66,117,70,40,50,67,5
616,"Shelmet"," ","Bug"," ",305,50,40,85,40,65,25,5
624,"Pawniard"," ","Dark","Steel",340,45,85,70,40,40,60,5
626,"Bouffalant"," ","Normal"," ",490,95,110,95,40,95,55,5
214,"Heracross","Mega Heracross","Bug","Fighting",600,80,185,115,40,105,75,6
661,"Fletchling"," ","Normal","Flying",278,45,50,43,40,38,62,6
20,"Raticate","Alolan Raticate","Dark","Normal",413,75,71,70,40,80,77,7
88,"Grimer","Alolan Grimer","Poison","Dark",325,80,80,50,40,50,25,7
732,"Trumbeak"," ","Normal","Flying",355,55,85,50,40,50,75,7
751,"Dewpider"," ","Water","Bug",269,38,40,52,40,72,27,7
762,"Steenee"," ","Grass"," ",290,52,40,48,40,48,62,7
766,"Passimian"," ","Fighting"," ",490,100,120,90,40,60,80,7
777,"Togedemaru"," ","Electric","Steel",435,65,98,63,40,73,96,7
52,"Meowth","Galarian Meowth","Steel"," ",290,50,65,55,40,40,40,8
79,"Slowpoke","Galarian Slowpoke","Psychic"," ",315,90,65,65,40,40,15,8
810,"Grookey"," ","Grass"," ",310,50,65,50,40,40,65,8
813,"Scorbunny"," ","Fire"," ",310,50,71,40,40,40,69,8
829,"Gossifleur"," ","Grass"," ",250,40,40,60,40,60,10,8
831,"Wooloo"," ","Normal"," ",270,42,40,55,40,45,48,8
835,"Yamper"," ","Electric"," ",270,59,45,50,40,50,26,8
837,"Rolycoly"," ","Rock"," ",240,30,40,50,40,50,30,8
840,"Applin"," ","Grass","Dragon",260,40,40,80,40,40,20,8
846,"Arrokuda"," ","Water"," ",280,41,63,40,40,30,66,8
878,"Cufant"," ","Steel"," ",330,72,80,49,40,49,40,8
885,"Dreepy"," ","Dragon","Ghost",270,28,60,30,40,30,82,8
903,"Sneasler"," ","Fighting","Poison",510,80,130,60,40,80,120,8
921,"Pawmi"," ","Electric"," ",240,45,50,20,40,25,60,9
924,"Tandemaus"," ","Normal"," ",305,50,50,45,40,45,75,9
942,"Maschiff"," ","Dark"," ",340,60,78,60,40,51,51,9
944,"Shroodle"," ","Poison","Normal",290,40,65,35,40,35,75,9
